@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7474,'2023/06/12 23:32:18:066',11,9.90181,131.755249,28.458296,23.412968,19.297241,0,1,0,0,0
7475,'2023/06/12 23:32:18:090',11,10.116792,157.68338,34.96843,21.37007,21.119328,0,1,0,0,0
7476,'2023/06/12 23:32:18:101',11,10.29573,180.630508,27.346106,21.374371,16.397652,0,1,0,0,0
7477,'2023/06/12 23:32:18:113',11,10.827246,198.291824,30.771296,22.842249,18.455555,0,1,0,0,0
7478,'2023/06/12 23:32:18:137',11,11.175338,208.474182,31.335808,25.885344,17.940825,0,1,0,0,0
7479,'2023/06/12 23:32:18:148',11,11.311004,210.097046,28.437456,27.848843,17.073198,0,1,0,0,0
7480,'2023/06/12 23:32:18:159',11,10.586141,202.947189,32.240139,26.30739,19.907263,0,1,0,0,0
7481,'2023/06/12 23:32:18:183',11,11.197445,191.557404,42.318455,25.77726,23.160183,0,1,0,0,0
7482,'2023/06/12 23:32:18:194',11,11.005096,196.458221,35.470608,23.332575,20.300825,0,1,0,0,0
7483,'2023/06/12 23:32:18:206',11,11.348701,226.84436,31.260159,23.110571,20.385151,0,1,0,0,0
7484,'2023/06/12 23:32:18:229',11,11.089896,239.146042,31.418961,22.963165,18.804632,0,1,0,0,0
7485,'2023/06/12 23:32:18:240',11,10.0413,237.833374,24.425987,21.197016,16.747292,0,1,0,0,0
7486,'2023/06/12 23:32:18:252',11,9.216598,230.513412,22.378227,19.522438,16.389456,0,1,0,0,0
