@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
249,'2023/06/13 10:16:24:114',3,0,0,0,0,0,0,0,0,0
250,'2023/06/13 10:16:24:139',3,0,0,0,0,0,0,0,0,0
251,'2023/06/13 10:16:24:163',3,0,0,0,0,0.33,0,0,0,0
252,'2023/06/13 10:16:24:185',3,0,0,0,0,0.73,0,0,0,0
253,'2023/06/13 10:16:24:209',3,0,0,0,0,1,0,0,0,0
254,'2023/06/13 10:16:24:232',3,0,0,0,0,1,0,0,0,0
255,'2023/06/13 10:16:24:255',3,0,0,0,0,1,0,0,0,0
256,'2023/06/13 10:16:24:279',3,0,0,0,0,1,0,0,0,0
257,'2023/06/13 10:16:24:297',3,0,0,0,0,1,0,0,0,0
258,'2023/06/13 10:16:24:326',3,542.452881,860.447327,542.452881,860.447327,1,0,0,0,0
259,'2023/06/13 10:16:24:344',3,0,0,0,0,1,0,0,0,0
260,'2023/06/13 10:16:24:368',3,0,0,0,0,1,0,0,0,0
261,'2023/06/13 10:16:24:397',3,431.283966,770.710876,431.283966,770.710876,1,0,0,0,0
262,'2023/06/13 10:16:24:417',3,0,0,0,0,1,0,0,0,0
263,'2023/06/13 10:16:24:443',3,0,0,0,0,1,0,0,0,0
264,'2023/06/13 10:16:24:463',3,0,0,0,0,1,0,0,0,0
265,'2023/06/13 10:16:24:488',3,0,0,0,0,1,0,0,0,0
266,'2023/06/13 10:16:24:507',3,0,0,0,0,1,0,0,0,0
267,'2023/06/13 10:16:24:533',3,0,0,0,0,1,0,0,0,0
268,'2023/06/13 10:16:24:558',3,0,0,0,0,1,0,0,0,0
269,'2023/06/13 10:16:24:578',3,0,0,0,0,1,0,0,0,0
270,'2023/06/13 10:16:24:602',3,0,0,0,0,1,0,0,0,0
271,'2023/06/13 10:16:24:626',3,0,0,0,0,1,0,0,0,0
272,'2023/06/13 10:16:24:646',3,0,0,0,0,1,0,0,0,0
273,'2023/06/13 10:16:24:672',3,0,0,0,0,1,0,0,0,0
274,'2023/06/13 10:16:24:697',3,0,0,0,0,1,0,0,0,0
275,'2023/06/13 10:16:24:716',3,0,0,0,0,1,0,0,0,0
276,'2023/06/13 10:16:24:741',3,0,0,0,0,1,0,0,0,0
277,'2023/06/13 10:16:24:767',3,0,0,0,0,1,0,0,0,0
278,'2023/06/13 10:16:24:787',3,0,0,0,0,1,0,0,0,0
279,'2023/06/13 10:16:24:811',3,0,0,0,0,1,0,0,0,0
280,'2023/06/13 10:16:24:834',3,0,0,0,0,1,0,0,0,0
281,'2023/06/13 10:16:24:859',3,0,0,0,0,1,0,0,0,0
282,'2023/06/13 10:16:24:885',3,0,0,0,0,1,0,0,0,0
283,'2023/06/13 10:16:24:904',3,437.9599,809.850586,437.9599,809.850586,1,0,0,0,0
284,'2023/06/13 10:16:24:930',3,0,0,0,0,1,0,0,0,0
285,'2023/06/13 10:16:24:950',3,0,0,0,0,1,0,0,0,0
286,'2023/06/13 10:16:24:977',3,444.732147,816.17395,444.732147,816.17395,1,0,0,0,0
287,'2023/06/13 10:16:24:996',3,0,0,0,0,1,0,0,0,0
288,'2023/06/13 10:16:25:022',3,0,0,0,0,1,0,0,0,0
289,'2023/06/13 10:16:25:043',3,0,0,0,0,1,0,0,0,0
290,'2023/06/13 10:16:25:070',3,446.29425,864.722717,446.29425,864.722717,1,0,0,0,0
291,'2023/06/13 10:16:25:089',3,670.81842,758.793945,670.81842,758.793945,1,0,0,0,0
292,'2023/06/13 10:16:25:114',3,555.063721,767.25293,555.063721,767.25293,1,0,0,0,0
293,'2023/06/13 10:16:25:139',3,0,0,0,0,1,0,0,0,0
294,'2023/06/13 10:16:25:158',3,0,0,0,0,1,0,0,0,0
295,'2023/06/13 10:16:25:181',3,0,0,0,0,1,0,0,0,0
296,'2023/06/13 10:16:25:206',3,0,0,0,0,1,0,0,0,0
297,'2023/06/13 10:16:25:229',3,0,0,0,0,1,0,0,0,0
298,'2023/06/13 10:16:25:249',3,0,0,0,0,1,0,0,0,0
299,'2023/06/13 10:16:25:274',3,0,0,0,0,1,0,0,0,0
300,'2023/06/13 10:16:25:297',3,0,0,0,0,1,0,0,0,0
